c	instance Type (null)
c
n	100
g	1
c	w1	v1	v2	v3
i	75	42	28	91
i	49	12	48	97
i	20	91	1	95
i	18	39	98	42
i	40	40	87	71
i	6	26	25	2
i	68	79	28	52
i	12	41	3	56
i	2	76	1	6
i	67	42	51	5
i	24	93	50	46
i	57	92	45	15
i	49	53	10	14
i	51	53	29	6
i	47	41	63	68
i	26	39	34	81
i	30	28	27	33
i	79	28	35	84
i	24	93	50	46
i	50	69	65	24
i	49	68	59	21
i	27	27	19	79
i	83	29	67	31
i	3	66	73	65
i	78	90	88	80
i	86	29	58	28
i	90	3	20	26
i	6	88	55	44
i	15	87	99	31
i	92	38	75	58
i	77	33	71	53
i	19	83	46	58
i	98	5	2	73
i	54	28	31	15
i	1	69	69	26
i	85	40	62	26
i	82	45	74	2
i	5	79	37	15
i	72	64	35	35
i	60	43	55	57
i	55	17	27	64
i	45	70	90	92
i	54	45	55	77
i	86	60	38	5
i	80	29	76	81
i	56	48	90	87
i	100	32	10	32
i	79	49	4	21
i	75	24	75	19
i	30	23	42	13
i	69	8	80	61
i	14	30	29	4
i	64	47	10	81
i	75	74	78	19
i	14	51	10	94
i	70	1	21	85
i	36	3	78	27
i	42	17	86	77
i	83	12	31	63
i	59	49	4	41
i	27	55	84	50
i	86	2	76	26
i	45	84	63	42
i	47	73	95	43
i	23	50	18	22
i	67	83	12	10
i	28	100	73	76
i	28	70	16	56
i	78	92	87	94
i	25	92	58	47
i	10	18	69	66
i	86	76	51	16
i	37	7	35	42
i	89	41	6	26
i	10	45	16	21
i	63	20	73	15
i	48	97	57	38
i	65	28	46	45
i	37	67	85	88
i	98	92	87	21
i	82	2	7	71
i	39	94	81	94
i	32	28	100	37
i	51	43	77	72
i	58	34	7	82
i	94	53	44	22
i	91	54	64	76
i	56	38	32	100
i	76	100	92	28
i	53	90	90	64
i	24	87	31	28
i	12	57	10	67
i	95	82	2	78
i	51	63	70	52
i	9	38	43	41
i	70	68	54	100
i	62	34	93	31
i	92	41	26	70
i	83	43	53	46
i	11	51	7	91
c
c
W	2600
c	end of file
