c	instance Type (null)
c
n	100
g	1
c	w1	v1	v2	v3
i	15	82	68	31
i	88	98	87	83
i	28	46	56	50
i	55	29	35	32
i	23	23	17	54
i	11	31	30	54
i	1	12	61	85
i	14	43	5	5
i	4	78	50	8
i	54	29	38	92
i	48	64	74	17
i	87	75	75	45
i	37	41	98	2
i	44	93	22	99
i	40	34	56	61
i	69	29	24	71
i	59	57	9	62
i	59	8	15	64
i	48	64	74	17
i	43	62	58	17
i	33	52	96	58
i	49	49	41	1
i	99	92	83	94
i	97	13	67	59
i	79	91	89	81
i	76	19	48	71
i	76	89	6	12
i	55	37	4	93
i	59	31	96	28
i	34	80	17	100
i	71	27	65	47
i	34	98	14	73
i	3	10	7	78
i	47	21	24	8
i	96	64	64	68
i	16	71	93	57
i	51	14	90	71
i	80	54	65	90
i	12	4	22	75
i	4	34	46	48
i	60	22	32	69
i	45	70	90	39
i	56	47	10	32
i	1	75	6	20
i	69	18	65	70
i	62	54	43	40
i	49	81	59	81
i	53	23	78	95
i	20	69	20	64
i	47	40	59	77
i	37	23	95	76
i	51	67	19	41
i	89	72	82	6
i	73	19	76	17
i	45	82	41	25
i	29	60	80	44
i	46	13	88	37
i	16	91	60	51
i	37	66	38	17
i	25	15	17	54
i	21	2	31	44
i	36	52	26	76
i	55	94	73	5
i	45	71	46	41
i	3	77	45	2
i	57	73	2	100
i	86	58	31	81
i	94	36	82	22
i	45	59	54	61
i	38	58	24	13
i	100	8	59	56
i	30	67	95	7
i	55	72	100	7
i	56	55	20	40
i	93	75	46	51
i	20	77	83	25
i	62	64	24	5
i	38	1	19	18
i	32	15	80	83
i	73	67	62	49
i	83	50	55	72
i	25	33	20	80
i	12	61	80	70
i	13	5	86	81
i	99	28	1	23
i	83	42	80	58
i	86	49	59	18
i	78	13	7	22
i	56	80	72	8
i	67	4	4	25
i	96	12	3	53
i	90	35	88	45
i	66	53	73	49
i	21	33	40	22
i	85	14	19	17
i	91	89	75	21
i	59	31	37	75
i	80	29	67	58
i	8	21	78	24
i	15	55	11	95
c
c
W	2530
c	end of file
