c	instance Type (null)
c
n	25
g	4
c	w1	w2	w3	w4	v1	v2	v3
i	100	12	67	9	67	53	16
i	54	44	93	98	17	53	2
i	16	20	24	99	87	97	91
i	23	22	57	26	44	50	47
i	10	67	79	9	10	57	41
i	7	18	36	55	27	26	50
i	80	37	40	92	91	87	64
i	65	96	69	98	94	56	9
i	30	81	32	78	4	76	34
i	52	91	42	32	27	36	90
i	61	19	34	66	77	87	30
i	99	63	26	19	34	87	57
i	35	96	85	3	39	96	100
i	60	32	81	74	9	38	15
i	84	29	39	96	78	100	5
i	71	43	94	15	84	26	73
i	5	20	13	36	3	2	8
i	7	71	21	42	56	10	59
i	61	19	34	66	77	87	30
i	15	60	25	26	34	30	89
i	17	36	12	63	36	80	42
i	5	92	98	67	5	50	10
i	90	11	72	11	36	74	38
i	88	42	54	85	51	5	97
i	17	19	58	78	29	27	72
c
c
W	576	570	643	672
c	end of file
