c	instance Type (null)
c
n	25
g	4
c	w1	w2	w3	w4	v1	v2	v3
i	70	82	37	79	37	23	86
i	97	40	36	94	60	49	45
i	70	74	25	100	88	98	92
i	15	14	49	18	36	95	39
i	75	32	44	74	75	22	6
i	33	97	62	34	53	52	76
i	20	77	80	32	31	80	4
i	16	47	20	96	45	7	60
i	31	82	33	79	5	77	35
i	72	11	9	99	47	56	10
i	73	31	46	78	89	99	42
i	14	31	41	34	49	2	72
i	79	93	29	47	83	40	44
i	80	5	54	47	82	58	35
i	54	99	62	19	48	70	75
i	66	38	42	10	79	74	21
i	46	8	54	77	44	43	49
i	97	61	11	32	46	100	49
i	73	31	46	78	89	99	42
i	88	33	45	99	54	50	62
i	59	78	7	5	78	22	84
i	66	53	59	28	66	11	71
i	98	19	80	19	44	82	46
i	35	42	54	32	98	5	97
i	94	43	82	55	6	4	96
c
c
W	761	611	554	683
c	end of file
