c	instance Type (null)
c
n	25
g	4
c	w1	w2	w3	w4	v1	v2	v3
i	60	72	27	69	27	13	76
i	68	58	54	12	78	67	63
i	61	65	69	44	32	42	36
i	33	85	20	89	7	13	10
i	27	84	96	26	27	74	58
i	2	66	84	3	22	21	98
i	47	4	7	59	58	54	31
i	16	94	20	96	45	7	7
i	81	79	30	76	55	27	32
i	18	57	55	45	93	2	56
i	37	95	10	42	6	63	59
i	69	33	43	89	4	4	74
i	94	8	44	62	51	55	59
i	67	92	41	34	69	45	22
i	91	36	46	3	85	7	12
i	28	53	4	72	41	36	83
i	23	38	84	54	74	73	79
i	27	91	41	62	23	30	79
i	37	95	10	42	6	63	59
i	22	67	79	33	88	84	96
i	33	99	28	79	52	43	5
i	36	23	76	98	36	28	88
i	74	48	56	95	20	58	22
i	41	48	60	38	4	11	3
i	16	18	57	77	28	26	71
c
c
W	554	754	571	700
c	end of file
