c	instance Type (null)
c
n	25
g	4
c	w1	w2	w3	w4	v1	v2	v3
i	65	77	32	74	32	18	81
i	56	99	95	53	19	8	4
i	39	43	47	22	10	20	14
i	74	26	61	77	48	54	51
i	1	58	70	100	1	48	32
i	94	5	23	42	14	13	37
i	60	64	20	19	71	67	44
i	16	47	20	96	45	7	7
i	56	7	5	4	30	2	60
i	95	34	32	22	70	79	33
i	55	13	28	60	24	81	77
i	15	32	42	35	3	3	73
i	63	24	13	31	67	24	28
i	50	22	71	64	99	28	5
i	49	41	4	61	43	65	17
i	97	69	73	41	10	5	52
i	11	73	19	89	9	8	14
i	62	26	76	97	11	65	14
i	55	13	28	60	71	81	77
i	55	100	12	66	21	17	29
i	96	15	91	42	15	59	21
i	1	88	94	63	1	46	53
i	86	7	68	7	32	70	34
i	38	45	57	35	1	8	100
i	5	7	93	66	17	15	60
c
c
W	647	518	587	663
c	end of file
