c	instance Type (null)
c
n	25
g	4
c	w1	w2	w3	w4	v1	v2	v3
i	65	77	32	74	32	18	81
i	67	57	6	64	30	19	15
i	64	68	19	94	82	92	86
i	36	88	23	92	10	16	13
i	92	49	61	91	92	39	23
i	28	39	57	76	48	47	71
i	95	52	55	7	6	2	79
i	12	43	16	92	41	3	56
i	52	3	1	100	26	98	56
i	13	52	3	93	88	97	51
i	88	99	14	46	57	14	10
i	12	76	86	79	47	47	17
i	64	25	14	79	68	25	29
i	38	63	12	5	40	16	93
i	31	76	39	96	25	47	52
i	88	13	64	32	1	96	43
i	7	22	15	38	58	57	10
i	9	73	23	44	58	12	14
i	88	99	14	46	57	14	10
i	84	29	41	95	3	99	58
i	70	89	18	16	89	33	95
i	44	31	37	6	44	89	49
i	59	33	41	80	5	43	7
i	9	16	28	6	72	79	71
i	53	2	41	61	12	10	55
c
c
W	634	637	380	756
c	end of file
