c	instance Type (null)
c
n	25
g	4
c	w1	w2	w3	w4	v1	v2	v3
i	30	42	97	39	97	83	46
i	11	1	97	55	21	10	6
i	15	19	70	45	33	43	37
i	78	77	12	81	99	5	2
i	45	49	14	44	45	39	76
i	81	92	10	29	1	47	24
i	87	44	47	99	51	47	24
i	14	45	71	47	43	5	58
i	29	80	31	77	3	28	33
i	85	24	22	65	60	69	23
i	49	7	22	54	18	75	71
i	84	48	11	4	19	72	42
i	91	52	41	6	95	52	56
i	40	12	61	54	89	18	95
i	61	6	69	26	55	77	82
i	23	48	99	67	36	31	78
i	64	79	72	95	62	14	67
i	17	81	31	52	13	20	69
i	49	7	22	54	18	75	71
i	42	87	52	6	61	57	16
i	75	94	70	21	94	38	100
i	44	31	37	59	44	89	49
i	82	56	64	3	28	66	30
i	88	95	7	85	4	58	50
i	93	42	81	54	5	3	95
c
c
W	689	609	605	611
c	end of file
