c	instance Type (null)
c
n	25
g	4
c	w1	w2	w3	w4	v1	v2	v3
i	75	87	42	84	42	28	91
i	38	81	77	35	1	90	86
i	48	52	56	31	19	29	23
i	56	55	90	59	77	36	80
i	49	6	18	48	49	96	80
i	72	36	1	73	92	91	68
i	33	90	93	45	44	40	17
i	16	47	20	49	45	7	60
i	6	57	8	54	80	52	10
i	49	88	86	76	24	33	87
i	38	96	11	43	7	64	60
i	13	77	40	33	48	1	71
i	48	9	98	16	52	9	13
i	63	35	84	77	12	41	18
i	12	57	20	77	6	28	33
i	35	7	11	79	48	43	90
i	81	43	89	12	79	78	84
i	32	96	46	67	81	35	37
i	38	96	11	43	7	64	60
i	21	66	78	32	87	83	95
i	22	41	70	21	94	85	47
i	31	18	24	46	31	76	36
i	10	31	92	78	56	94	58
i	32	39	98	29	95	2	94
i	83	32	71	91	42	40	85
c
c
W	501	671	667	649
c	end of file
