c	instance Type (null)
c
n	25
g	4
c	w1	w2	w3	w4	v1	v2	v3
i	70	82	37	79	37	23	86
i	8	98	47	5	71	7	56
i	42	46	50	25	13	23	17
i	77	29	64	80	51	57	54
i	66	23	35	65	66	13	97
i	67	31	96	68	87	86	10
i	8	12	68	67	19	15	92
i	12	43	16	92	41	3	56
i	27	78	29	75	1	73	31
i	90	29	80	70	65	74	28
i	6	64	79	11	75	32	28
i	58	75	85	78	93	46	16
i	80	41	30	48	84	41	45
i	21	93	42	35	70	99	76
i	89	34	44	1	83	5	10
i	57	29	33	1	70	65	12
i	42	57	3	73	93	92	98
i	44	8	58	32	93	47	49
i	6	64	79	11	75	32	28
i	17	62	74	28	36	32	91
i	33	52	81	32	5	96	58
i	62	49	2	24	9	54	14
i	71	92	53	92	17	55	19
i	6	13	72	3	69	76	68
i	89	91	77	50	1	99	44
c
c
W	574	648	667	573
c	end of file
