c	instance Type (null)
c
n	25
g	4
c	w1	w2	w3	w4	v1	v2	v3
i	80	92	47	89	47	33	96
i	90	80	29	34	53	89	38
i	51	55	6	81	69	79	73
i	59	58	93	62	80	39	83
i	14	71	83	13	14	61	45
i	98	9	27	46	18	17	41
i	81	38	41	93	92	88	65
i	12	43	69	45	41	3	56
i	77	28	79	25	51	76	81
i	44	83	34	24	19	28	82
i	42	100	15	47	58	68	11
i	56	20	83	76	91	44	14
i	65	26	15	33	69	26	30
i	34	6	55	48	83	12	89
i	5	50	60	17	99	21	73
i	95	67	71	39	8	3	97
i	65	27	73	96	63	62	68
i	14	78	28	2	63	70	19
i	42	100	15	47	58	68	11
i	83	28	93	94	2	98	57
i	12	31	7	58	31	75	37
i	92	79	85	54	92	37	97
i	95	16	77	63	88	79	90
i	100	7	66	97	63	17	62
i	67	16	55	75	79	77	69
c
c
W	737	604	653	679
c	end of file
