c	instance Type (null)
c
n	25
g	4
c	w1	w2	w3	w4	v1	v2	v3
i	5	17	72	14	72	58	21
i	6	96	45	50	16	5	54
i	19	23	74	49	90	47	41
i	26	25	60	29	47	53	50
i	75	79	44	74	75	69	6
i	80	44	9	81	100	99	76
i	28	85	88	40	39	35	12
i	61	92	18	94	90	52	5
i	1	52	3	49	28	100	5
i	100	39	37	27	75	84	38
i	12	70	85	17	81	38	34
i	42	6	69	62	77	30	100
i	52	66	2	20	9	13	17
i	31	56	5	45	80	9	86
i	24	69	32	89	18	40	45
i	31	3	54	75	44	86	33
i	89	4	97	20	87	86	92
i	89	53	3	77	38	45	94
i	12	70	85	17	81	38	34
i	77	22	87	41	96	92	51
i	7	73	2	53	26	17	79
i	66	53	59	28	66	11	18
i	75	96	57	96	21	59	23
i	3	10	22	53	19	73	65
i	1	3	42	62	13	11	56
c
c
W	506	603	576	631
c	end of file
