c	instance Type (null)
c
n	25
g	4
c	w1	w2	w3	w4	v1	v2	v3
i	10	22	77	19	77	63	26
i	47	37	86	91	57	46	95
i	97	1	5	80	68	78	72
i	14	66	1	70	88	94	91
i	49	53	18	48	49	43	80
i	72	83	1	20	39	38	15
i	41	45	1	100	52	48	25
i	14	92	18	94	43	5	5
i	29	27	78	24	3	75	80
i	77	16	14	4	52	61	15
i	30	88	3	35	99	56	52
i	41	5	15	61	76	76	46
i	21	82	71	89	25	82	86
i	14	86	35	28	63	92	69
i	82	27	90	47	76	98	3
i	100	72	23	44	13	55	2
i	24	39	32	55	22	21	27
i	24	88	38	12	73	80	29
i	30	88	3	35	99	56	52
i	10	55	20	74	29	25	84
i	70	89	65	16	89	33	95
i	31	18	24	93	31	76	36
i	87	8	69	55	33	71	35
i	100	7	19	50	16	70	62
i	90	92	78	51	2	100	45
c
c
W	602	643	442	648
c	end of file
