c	instance Type (null)
c
n	25
g	4
c	w1	w2	w3	w4	v1	v2	v3
i	40	52	7	49	7	93	56
i	93	83	79	37	3	92	88
i	71	75	79	54	42	52	46
i	60	59	94	63	81	87	84
i	93	97	62	92	93	87	24
i	59	23	88	60	79	78	55
i	13	70	73	72	24	20	97
i	67	98	71	47	96	58	58
i	32	83	81	27	6	78	36
i	39	78	76	19	14	23	77
i	32	43	58	37	1	58	54
i	29	46	56	49	17	17	87
i	76	37	73	91	80	37	41
i	53	25	74	67	2	31	8
i	77	22	32	89	71	93	98
i	61	86	37	5	74	69	16
i	34	49	42	65	85	84	37
i	87	51	1	22	36	90	92
i	32	90	5	37	1	58	54
i	8	53	18	72	27	23	82
i	1	20	49	47	20	64	26
i	27	14	20	89	27	72	79
i	6	27	88	74	52	90	54
i	82	89	1	79	98	52	44
i	18	20	59	79	30	28	73
c
c
W	595	695	662	711
c	end of file
