c	instance Type (null)
c
n	25
g	4
c	w1	w2	w3	w4	v1	v2	v3
i	35	47	2	44	2	88	51
i	63	53	49	7	73	62	58
i	65	69	73	48	36	46	40
i	81	80	15	84	2	8	5
i	10	14	26	56	57	4	88
i	54	18	83	55	74	73	97
i	35	92	95	47	99	95	72
i	63	41	67	43	92	54	54
i	53	51	2	48	27	99	4
i	80	19	70	60	8	17	71
i	100	58	73	5	69	26	22
i	27	91	1	47	62	62	32
i	8	69	58	76	12	69	73
i	11	83	32	25	60	89	66
i	54	99	9	66	48	70	75
i	83	8	59	27	96	91	38
i	48	63	56	79	46	98	51
i	99	63	13	34	48	2	4
i	100	58	73	5	69	26	22
i	57	2	14	68	23	19	31
i	12	31	60	58	31	75	37
i	5	92	98	67	5	50	10
i	67	88	49	88	13	51	15
i	56	63	75	53	72	26	18
i	77	79	65	38	89	87	79
c
c
W	672	716	609	614
c	end of file
