c	instance Type (null)
c
n	25
g	4
c	w1	w2	w3	w4	v1	v2	v3
i	100	12	67	9	67	53	16
i	65	55	4	9	75	64	13
i	41	45	96	71	59	69	63
i	85	84	19	88	6	12	9
i	1	5	70	100	1	95	32
i	41	52	70	42	61	60	84
i	15	72	75	27	26	22	99
i	61	92	18	94	90	52	5
i	26	77	28	74	100	25	30
i	23	62	60	50	98	7	61
i	94	52	20	99	63	20	16
i	43	7	70	63	78	31	1
i	36	97	86	4	40	97	1
i	48	73	22	15	50	26	56
i	19	11	74	31	13	35	87
i	62	34	85	6	75	17	64
i	54	16	62	85	52	51	57
i	54	18	68	89	3	57	59
i	94	52	67	99	63	20	16
i	44	89	54	8	63	59	18
i	91	10	39	37	10	54	16
i	1	88	41	63	1	93	53
i	63	84	45	84	9	47	11
i	59	13	25	56	22	76	68
i	65	14	53	73	77	75	67
c
c
W	643	607	659	688
c	end of file
