c	instance Type (null)
c
n	25
g	4
c	w1	w2	w3	w4	v1	v2	v3
i	40	52	7	49	7	93	56
i	4	94	90	48	14	3	99
i	96	100	51	26	14	24	18
i	22	21	56	25	43	49	46
i	84	88	100	30	31	78	62
i	93	57	22	94	13	12	89
i	48	5	8	60	59	55	32
i	63	94	67	43	92	54	7
i	28	79	77	76	2	74	32
i	57	96	47	37	85	94	48
i	18	76	91	23	87	44	40
i	73	90	100	93	61	61	31
i	24	38	74	92	81	38	42
i	41	66	15	55	43	19	96
i	12	4	67	24	6	28	80
i	52	77	28	96	65	60	7
i	83	98	91	14	81	33	86
i	34	98	48	22	83	90	39
i	18	76	91	23	87	44	40
i	90	35	47	1	56	52	64
i	28	94	23	74	47	38	100
i	70	57	63	85	70	15	75
i	79	100	61	100	25	63	27
i	53	60	72	50	16	23	15
i	66	15	54	74	78	76	68
c
c
W	638	835	725	657
c	end of file
