c	instance Type (null)
c
n	25
g	4
c	w1	w2	w3	w4	v1	v2	v3
i	10	22	77	19	77	63	26
i	36	26	75	80	99	35	84
i	25	29	80	55	43	53	47
i	52	4	39	55	26	32	29
i	58	15	27	57	58	5	89
i	85	49	67	86	5	4	81
i	53	10	13	65	64	13	37
i	65	96	22	98	47	9	9
i	33	31	82	28	7	79	84
i	6	45	96	86	34	90	97
i	44	2	17	49	13	70	66
i	97	61	71	17	32	32	2
i	20	81	70	88	24	81	85
i	73	98	47	87	22	51	28
i	47	92	55	12	41	63	68
i	9	81	32	100	69	64	11
i	75	90	83	6	73	25	78
i	77	41	91	12	26	80	82
i	44	2	17	49	13	70	66
i	81	26	91	92	100	96	55
i	96	62	91	42	15	6	68
i	88	75	81	50	88	33	40
i	14	35	96	82	7	98	9
i	29	36	48	79	45	99	91
i	95	44	83	3	7	5	97
c
c
W	656	577	776	699
c	end of file
