c	instance Type (null)
c
n	25
g	4
c	w1	w2	w3	w4	v1	v2	v3
i	55	67	22	64	22	8	71
i	27	17	13	71	37	26	22
i	83	87	38	13	1	11	5
i	92	44	79	48	66	72	69
i	53	10	22	52	53	100	84
i	63	27	92	64	83	82	6
i	34	91	94	46	45	41	18
i	63	94	20	96	92	54	7
i	53	4	55	1	27	52	57
i	41	27	78	68	16	25	79
i	19	77	92	24	88	45	41
i	70	34	97	90	5	58	28
i	78	39	28	46	82	39	43
i	37	9	58	51	86	15	92
i	33	78	88	45	27	49	54
i	59	84	35	3	72	67	14
i	88	3	96	19	39	38	91
i	39	56	6	27	88	95	44
i	19	77	92	24	88	45	41
i	89	34	46	100	55	51	63
i	17	36	65	63	89	80	42
i	18	5	11	80	18	63	23
i	62	36	44	83	8	46	10
i	44	51	63	41	7	14	6
i	80	29	68	88	92	90	82
c
c
W	658	558	701	654
c	end of file
