c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	0	7	0	14	0	14	0	7	14	7	14	7	7	14	0	14	0	0
i	4	9	20	4	8	0	12	0	20	7	17	19	19	0	5	7	19	5
i	18	17	4	13	1	15	3	1	2	14	7	10	1	17	11	20	11	10
i	18	16	12	2	20	4	13	16	16	15	6	15	10	20	20	19	15	6
i	8	19	14	18	12	2	3	13	14	17	3	7	11	2	8	9	2	17
i	8	9	17	6	2	10	16	5	2	12	19	13	5	7	2	8	16	15
i	6	3	13	12	11	4	3	17	16	11	15	2	3	3	12	20	10	16
i	1	13	10	14	12	9	19	15	11	18	17	13	2	12	18	1	15	20
i	1	13	9	14	12	9	19	15	11	18	17	13	2	12	18	0	15	20
i	9	10	12	5	7	8	5	15	8	11	10	15	5	18	9	15	12	9
i	7	13	10	7	6	5	4	18	18	13	10	4	10	18	12	7	8	15
i	7	10	7	15	5	0	3	11	9	11	19	5	14	1	11	8	11	19
i	17	4	18	12	0	12	19	7	7	12	10	14	6	2	7	8	0	1
i	11	15	20	13	0	10	0	4	3	0	3	5	6	6	0	6	6	17
i	14	14	20	4	16	15	4	10	15	13	14	17	8	15	19	10	12	15
i	3	11	2	2	15	2	8	18	7	15	17	17	6	7	4	9	15	18
i	8	1	10	18	10	11	0	13	19	0	5	13	18	17	6	3	5	0
i	2	3	12	15	9	11	4	18	14	0	13	1	18	14	0	10	14	0
i	16	11	1	18	12	10	10	19	11	2	3	11	9	8	0	12	11	15
i	10	1	12	2	6	10	7	2	7	3	5	12	5	11	10	3	16	13
c
c
W	84	100	112	104	82	81	76	112	112	100	112	107	83	102	86
c	end of file
