c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	7	14	7	0	7	0	7	14	0	14	0	14	14	0	7	0	7	7
i	10	15	4	10	14	5	18	5	5	13	2	4	4	6	10	13	4	11
i	9	8	17	5	14	7	16	14	14	6	19	1	14	9	2	11	2	2
i	3	1	18	8	5	10	20	1	1	0	13	1	17	5	6	4	1	12
i	7	17	13	17	11	1	1	12	13	15	2	6	9	0	7	8	1	16
i	16	18	5	15	11	19	4	14	11	0	7	1	14	15	10	17	4	3
i	12	8	19	17	16	10	9	2	0	16	20	7	9	8	18	5	16	0
i	11	2	20	4	1	19	8	4	0	7	7	2	12	1	7	11	5	9
i	11	2	19	3	1	19	8	4	0	7	7	2	12	1	7	11	4	9
i	10	11	12	6	8	9	6	16	9	12	10	16	5	18	9	15	13	9
i	0	6	3	0	0	19	18	11	11	6	3	18	4	11	5	0	1	8
i	1	3	1	9	19	15	18	5	2	5	13	19	7	16	5	2	4	13
i	9	16	10	4	12	3	10	19	19	4	2	6	18	15	20	0	13	13
i	1	5	10	2	11	20	11	15	14	11	13	16	17	17	11	17	17	7
i	14	13	20	4	16	15	4	9	15	12	13	17	8	14	18	9	12	14
i	5	14	5	4	18	4	11	0	10	18	20	19	9	9	6	12	17	20
i	14	7	16	3	16	17	7	19	4	6	11	19	4	2	13	9	11	6
i	0	1	10	13	7	9	2	16	12	19	11	20	15	11	19	8	12	18
i	10	5	16	12	7	4	4	13	5	17	18	5	3	3	15	6	5	9
i	4	16	6	18	0	4	1	17	1	18	20	7	20	5	4	18	10	7
c
c
W	77	91	116	77	97	105	92	105	73	103	106	100	108	83	100
c	end of file
