c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	7	14	7	0	7	0	7	14	0	14	0	14	14	0	7	0	7	7
i	1	6	16	0	5	17	8	17	16	4	14	16	16	18	1	3	16	1
i	2	1	10	19	7	0	9	7	7	20	12	15	7	2	16	4	16	16
i	9	6	2	13	10	15	4	6	7	5	18	6	1	11	11	9	6	17
i	19	8	4	8	2	13	13	3	4	6	14	18	0	12	19	20	13	7
i	0	2	10	20	16	2	8	19	16	4	11	6	18	20	15	0	8	7
i	4	0	11	9	8	2	1	15	14	9	13	20	1	1	10	18	8	13
i	3	15	12	17	15	11	0	17	13	20	20	16	5	14	20	3	18	1
i	3	15	12	16	15	11	0	17	13	20	20	15	4	14	20	3	18	1
i	4	5	6	0	2	3	0	10	3	6	4	10	0	13	3	10	7	4
i	20	4	1	19	19	18	17	10	10	5	1	16	2	10	4	20	20	7
i	14	17	15	2	12	7	11	19	16	18	5	12	0	8	19	16	18	6
i	20	7	0	16	3	15	1	10	10	16	14	18	9	5	11	12	4	4
i	10	14	19	11	20	8	20	3	2	20	1	4	5	5	20	5	5	16
i	19	18	3	8	20	20	9	14	19	17	18	0	13	19	2	14	16	19
i	2	10	1	1	15	1	7	17	7	15	17	16	5	6	3	8	14	17
i	0	14	2	10	2	2	13	5	10	13	17	5	10	9	19	16	17	13
i	19	20	8	11	4	6	0	13	9	17	9	17	13	9	17	5	10	16
i	0	15	5	1	17	15	15	3	16	7	7	15	13	13	5	17	15	20
i	13	4	16	6	9	13	10	5	10	6	8	16	8	14	13	6	19	16
c
c
W	85	98	80	94	104	90	77	112	101	121	112	128	72	102	118
c	end of file
