c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	7	14	7	0	7	0	7	14	0	14	0	14	14	0	7	0	7	7
i	12	17	6	12	16	7	20	7	7	15	4	6	6	8	12	14	6	13
i	12	10	19	7	16	9	18	16	16	8	0	3	16	11	5	14	5	4
i	4	2	19	9	6	11	0	2	2	1	14	2	17	6	7	5	2	13
i	9	19	15	19	13	3	3	14	15	17	4	8	11	2	9	10	3	18
i	14	15	3	12	8	16	1	11	9	18	4	20	11	13	8	14	1	0
i	4	0	10	9	8	1	0	14	13	8	12	20	0	0	10	17	7	13
i	6	18	15	20	18	14	3	0	16	2	2	19	8	17	2	6	0	4
i	6	18	15	19	18	14	3	20	16	2	2	18	7	17	2	6	0	4
i	9	10	11	5	7	8	5	15	8	11	9	15	4	17	8	14	12	8
i	0	6	3	0	20	19	18	11	11	6	3	18	3	11	5	0	1	8
i	0	2	0	8	18	13	17	4	1	3	11	18	6	14	4	1	3	12
i	0	8	1	16	4	16	2	11	11	16	14	18	10	6	11	13	5	5
i	16	0	5	18	5	15	5	9	9	5	8	11	11	11	5	11	12	1
i	15	14	20	4	16	16	5	10	15	13	14	17	9	15	19	10	12	15
i	1	10	1	0	14	0	7	17	6	14	16	15	5	5	2	8	13	16
i	15	9	17	4	17	18	8	20	5	7	12	20	5	3	14	11	12	7
i	4	4	13	16	10	12	5	19	15	1	14	2	19	15	1	11	15	1
i	19	14	4	0	15	13	13	1	14	5	6	14	11	11	3	15	14	18
i	2	14	4	16	19	2	20	15	20	16	18	5	18	3	2	16	8	5
c
c
W	78	102	94	97	128	104	80	115	105	91	84	132	96	93	68
c	end of file
