c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	0	7	0	14	0	14	0	7	14	7	14	7	7	14	0	14	0	0
i	2	7	18	2	6	19	10	19	18	5	15	17	17	19	3	5	17	3
i	15	14	2	11	20	13	1	20	20	12	4	7	20	15	8	17	8	8
i	17	15	11	1	19	3	13	15	15	14	5	15	9	19	20	18	14	5
i	6	17	12	16	10	0	1	11	12	15	1	5	9	0	6	7	0	15
i	10	12	20	9	5	12	19	8	5	15	1	16	8	9	4	10	18	18
i	15	11	1	20	19	12	11	4	3	19	2	10	11	11	0	8	18	3
i	6	18	14	19	17	14	3	20	16	2	1	18	7	17	2	5	20	4
i	6	18	14	19	17	14	2	20	15	2	1	18	7	17	2	5	20	4
i	10	11	13	6	8	9	6	16	9	12	11	16	6	19	10	16	13	10
i	7	13	10	7	7	5	4	18	18	13	10	4	11	19	12	7	8	15
i	8	11	8	16	6	1	4	12	10	12	20	6	15	2	13	9	12	20
i	4	12	5	0	8	20	6	15	15	0	19	2	14	11	16	17	9	9
i	16	0	5	18	5	15	5	9	9	5	8	11	11	12	6	11	12	2
i	14	13	19	3	15	15	4	9	14	12	13	16	8	14	18	9	11	14
i	7	15	6	6	20	6	12	1	12	19	0	0	10	11	8	13	19	1
i	7	0	9	17	9	10	20	12	18	20	3	12	17	16	5	2	4	20
i	20	0	9	12	6	8	1	15	10	18	10	19	14	10	18	7	11	17
i	7	2	13	9	4	1	1	10	2	14	15	2	0	0	12	3	2	6
i	12	3	14	4	8	12	9	4	9	5	7	14	7	13	12	5	18	15
c
c
W	95	100	102	105	105	102	66	123	122	111	80	108	104	124	88
c	end of file
