c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	14	0	14	7	14	7	14	0	7	0	7	0	0	7	14	7	14	14
i	12	16	6	11	16	7	19	7	6	14	4	6	5	7	12	14	6	12
i	17	16	3	12	1	14	2	0	1	14	6	9	0	17	10	19	10	10
i	8	6	2	13	10	15	3	6	6	5	17	5	0	10	11	9	5	17
i	2	12	8	12	6	17	17	7	7	10	17	0	4	16	2	3	17	11
i	10	11	20	8	4	12	18	7	4	14	0	15	7	9	4	10	18	17
i	13	9	20	18	17	11	10	3	2	17	1	8	10	9	19	6	17	1
i	10	1	19	2	0	18	7	3	20	6	6	1	11	0	6	10	3	8
i	10	1	18	2	0	18	7	3	20	6	5	1	11	0	6	9	3	8
i	12	13	15	9	10	11	8	18	12	14	13	18	8	0	12	18	15	12
i	15	0	18	15	14	13	12	5	5	0	18	11	18	5	20	15	15	2
i	18	0	18	5	16	11	14	1	20	1	9	16	4	12	1	19	1	9
i	17	4	18	12	0	12	19	7	7	13	11	15	6	2	8	9	1	1
i	1	6	11	3	11	0	11	15	15	11	14	17	17	17	11	17	18	7
i	12	11	17	1	13	13	2	7	12	10	11	14	6	12	16	7	9	12
i	16	4	15	15	8	15	0	10	0	8	10	9	19	20	17	2	7	10
i	18	12	20	7	20	0	11	2	8	11	15	2	8	7	17	14	15	10
i	13	14	2	5	19	0	15	7	3	11	3	11	7	3	11	20	4	10
i	8	3	14	10	4	2	2	11	3	15	16	3	0	0	13	4	2	7
i	2	14	5	16	19	3	0	15	20	16	19	5	18	3	2	17	8	6
c
c
W	114	77	132	92	101	100	96	67	89	98	101	83	80	78	106
c	end of file
