c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	0	7	0	14	0	14	0	7	14	7	14	7	7	14	0	14	0	0
i	8	13	3	8	12	4	16	4	3	11	0	2	2	4	9	11	2	9
i	1	0	9	18	6	20	8	6	6	19	11	14	6	1	15	3	15	15
i	20	17	13	3	0	5	15	17	18	16	8	17	12	1	1	20	17	7
i	12	2	18	1	16	6	7	17	18	0	7	11	15	6	12	13	6	0
i	2	4	12	1	18	4	10	0	18	6	13	8	0	1	17	2	10	9
i	11	7	18	16	15	9	7	1	20	15	19	6	7	7	17	4	15	20
i	12	3	0	5	3	20	9	6	1	8	8	4	14	2	8	12	6	10
i	12	3	0	4	3	20	9	5	1	8	8	3	13	2	8	12	6	10
i	7	8	10	3	5	6	3	13	6	9	8	13	3	16	7	13	10	7
i	6	12	9	6	6	5	3	18	17	12	9	3	10	18	12	6	7	15
i	5	7	5	13	2	18	1	9	6	8	16	2	11	19	9	6	8	17
i	0	7	1	16	4	16	2	11	11	16	14	18	10	6	11	12	4	5
i	0	4	9	2	10	20	10	14	13	10	13	16	16	16	10	16	16	6
i	16	15	1	6	18	17	6	11	17	14	16	19	10	17	20	11	14	16
i	15	3	15	15	7	15	0	10	20	7	9	9	19	19	17	1	7	10
i	10	3	12	20	12	13	2	15	0	2	7	15	20	19	9	5	7	2
i	9	10	18	0	15	17	10	3	20	6	20	7	3	20	6	16	20	6
i	12	7	18	14	9	7	6	16	7	20	20	7	5	5	18	8	7	12
i	6	18	8	19	2	6	3	19	3	20	1	8	1	7	6	20	12	9
c
c
W	82	75	90	92	82	121	64	101	110	107	111	95	92	100	106
c	end of file
