c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	14	0	14	7	14	7	14	0	7	0	7	0	0	7	14	7	14	14
i	2	7	18	2	6	19	10	19	18	5	15	18	17	19	3	5	17	3
i	10	9	17	5	15	7	16	14	15	7	20	2	14	10	3	12	3	3
i	13	11	7	18	15	20	9	11	11	10	2	11	5	15	16	14	11	1
i	13	3	20	3	17	8	8	19	19	1	8	12	16	7	14	15	8	2
i	14	16	3	13	9	17	2	12	9	19	5	20	12	13	8	15	2	1
i	5	1	12	11	10	3	2	16	15	10	14	1	2	2	11	19	9	14
i	2	14	11	16	13	10	20	16	12	19	19	14	3	13	19	2	16	0
i	2	14	10	15	13	10	20	16	12	19	19	14	3	13	19	2	16	0
i	7	8	9	3	5	5	2	12	6	9	7	13	2	15	6	12	9	6
i	13	19	16	13	13	12	10	3	3	19	16	10	17	4	18	13	14	1
i	11	13	11	19	8	4	7	15	12	15	2	8	17	5	15	12	14	2
i	8	16	9	3	12	3	10	19	19	3	1	5	18	14	19	0	13	13
i	10	15	20	12	20	9	20	3	3	20	2	5	5	5	20	5	6	17
i	17	16	1	6	18	18	7	12	17	15	16	19	11	17	0	12	14	17
i	13	0	12	12	5	12	18	7	18	4	7	6	16	17	14	19	4	7
i	4	18	6	14	6	7	17	9	14	17	0	9	14	13	2	20	1	17
i	11	12	0	2	17	19	12	5	1	9	1	9	5	1	8	18	1	8
i	18	13	3	20	15	13	12	0	13	4	5	13	11	11	2	14	13	18
i	11	2	14	4	7	12	9	3	8	4	7	14	6	12	11	5	17	15
c
c
W	99	104	107	99	119	108	113	106	116	105	87	102	97	107	111
c	end of file
