c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	7	14	7	0	7	0	7	14	0	14	0	14	14	0	7	0	7	7
i	8	13	2	8	12	3	16	3	3	11	0	2	2	4	8	11	2	9
i	7	6	14	2	12	4	13	11	12	3	17	20	11	7	0	9	0	20
i	2	0	17	7	4	9	19	0	0	20	12	0	16	5	5	3	0	11
i	5	15	11	15	9	20	20	10	11	13	0	4	7	19	5	6	20	14
i	19	0	8	18	14	0	6	17	14	2	9	4	16	18	13	19	6	5
i	20	16	6	4	4	18	17	10	9	4	8	15	17	17	5	13	3	8
i	16	7	4	8	6	3	13	9	5	12	11	7	17	6	12	16	9	14
i	16	7	3	8	6	3	13	9	5	12	11	7	17	6	12	15	9	14
i	11	12	13	7	9	10	7	17	10	13	11	17	6	19	10	16	14	10
i	0	6	3	0	0	20	18	12	11	6	3	18	4	12	5	0	1	9
i	2	5	2	10	0	16	19	6	4	6	14	0	9	17	6	3	6	14
i	17	4	18	12	0	12	19	7	7	12	10	14	6	2	7	9	1	1
i	6	11	16	8	16	5	16	20	20	16	19	1	1	1	16	1	2	12
i	13	12	19	3	15	14	3	8	14	11	13	16	7	14	17	9	11	13
i	9	18	9	8	1	8	15	4	14	1	3	2	13	13	10	16	1	4
i	13	6	15	2	15	16	6	18	3	5	10	18	2	1	12	8	10	5
i	18	19	7	10	4	5	20	13	8	16	8	17	12	8	16	5	9	15
i	1	17	7	3	19	17	16	5	17	8	9	17	15	15	7	18	17	1
i	6	18	8	20	2	6	3	19	3	20	1	9	1	7	6	20	12	9
c
c
W	98	103	95	77	78	95	133	106	85	103	85	101	97	96	90
c	end of file
