c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	14	0	14	7	14	7	14	0	7	0	7	0	0	7	14	7	14	14
i	17	1	12	17	0	13	4	13	12	20	9	12	11	13	18	20	12	18
i	3	2	10	19	8	0	9	7	8	0	13	16	7	3	17	5	17	17
i	11	8	4	15	12	17	6	8	9	7	20	8	3	13	13	11	8	19
i	8	18	14	18	11	2	2	13	13	16	2	6	10	1	8	9	2	17
i	2	3	11	0	17	4	10	20	17	6	13	7	20	1	17	2	10	9
i	9	5	16	14	13	7	6	20	19	14	18	4	6	6	15	2	13	18
i	16	8	4	9	7	3	13	10	5	12	12	8	18	7	13	16	10	15
i	16	8	4	9	7	3	13	10	5	12	12	7	17	6	12	16	10	15
i	9	10	12	6	7	8	5	15	9	11	10	16	5	18	9	15	12	9
i	14	20	17	14	13	12	11	4	4	20	17	11	18	4	19	14	15	1
i	14	17	15	1	12	7	11	19	16	18	5	12	0	8	19	16	18	5
i	13	20	14	8	17	7	15	3	2	8	6	10	1	19	3	4	17	18
i	6	10	15	7	16	4	16	20	19	16	18	0	1	1	16	1	1	12
i	14	13	20	4	16	15	4	9	15	13	14	17	8	15	18	10	12	14
i	4	12	3	3	17	3	9	19	9	17	19	18	7	8	5	10	16	19
i	1	15	2	11	3	3	14	5	11	14	18	6	11	10	20	17	18	14
i	1	2	11	14	8	10	3	17	13	20	12	0	17	12	20	9	13	19
i	13	8	19	15	9	7	7	16	8	20	0	8	6	5	18	9	8	12
i	17	8	20	10	13	18	15	9	14	10	13	20	12	18	17	11	2	0
c
c
W	101	94	119	101	110	75	94	119	108	127	119	93	89	88	146
c	end of file
