c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	0	7	0	14	0	14	0	7	14	7	14	7	7	14	0	14	0	0
i	12	17	6	12	16	8	20	7	7	15	4	6	6	8	13	15	6	13
i	6	5	14	2	11	3	13	11	11	3	16	19	11	6	20	8	20	20
i	0	19	15	5	2	7	17	19	19	18	10	19	14	3	3	1	19	9
i	16	6	1	5	20	10	11	0	1	4	11	15	19	10	16	17	10	4
i	18	19	7	16	12	20	5	15	13	1	8	3	15	17	12	18	5	4
i	15	11	1	20	20	13	12	5	4	20	3	10	12	12	0	8	19	3
i	3	15	11	16	14	11	0	17	12	20	19	15	4	14	20	2	17	1
i	3	15	11	16	14	10	20	17	12	20	19	15	4	13	20	2	17	1
i	5	6	8	2	3	4	1	11	4	7	6	11	1	14	5	11	8	5
i	6	12	9	6	5	4	3	17	17	12	9	3	10	17	11	6	7	14
i	2	5	2	10	0	16	19	6	4	6	14	0	9	17	6	3	6	14
i	4	11	5	20	8	19	6	15	14	20	18	1	13	10	15	16	8	9
i	10	14	19	12	20	9	20	3	2	20	2	5	5	5	20	5	5	16
i	18	17	2	7	19	19	8	13	18	16	17	20	12	18	1	13	15	18
i	7	16	7	6	20	6	13	2	12	20	1	1	11	11	9	14	20	2
i	12	5	14	1	14	15	5	17	2	4	9	17	1	0	11	7	9	4
i	15	16	4	6	0	2	16	9	5	13	5	13	9	5	13	1	6	12
i	9	4	15	11	5	3	3	12	4	16	17	4	2	1	14	5	4	8
i	2	14	4	15	19	2	20	15	20	16	18	4	18	3	2	16	8	5
c
c
W	82	117	78	101	111	98	106	109	98	129	110	94	92	99	106
c	end of file
