c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	0	7	0	14	0	14	0	7	14	7	14	7	7	14	0	14	0	0
i	6	11	1	6	10	2	14	2	1	9	19	0	0	2	7	9	0	7
i	20	19	7	16	4	17	6	4	4	17	9	12	4	20	13	1	13	13
i	19	16	12	3	0	5	14	16	17	16	7	16	11	0	0	19	16	7
i	10	0	16	20	14	4	5	15	16	19	5	9	13	4	10	11	4	19
i	5	6	15	3	20	7	13	3	0	9	16	11	2	4	20	5	13	12
i	19	15	5	3	2	17	16	9	8	3	7	14	16	15	4	12	2	7
i	17	8	5	10	7	4	14	10	6	13	13	8	18	7	13	17	11	15
i	17	8	4	9	7	4	14	10	6	13	13	8	18	7	13	17	10	15
i	8	9	11	4	6	7	4	14	7	10	9	14	4	17	8	14	11	8
i	7	12	9	7	6	5	4	18	18	13	10	3	10	18	12	7	7	15
i	6	8	6	14	3	20	2	10	7	10	18	3	12	0	10	7	9	18
i	8	16	9	4	12	3	10	19	19	4	2	6	18	14	20	0	13	13
i	5	10	15	7	15	4	15	19	19	15	18	0	0	1	16	0	1	12
i	15	14	0	5	17	16	5	11	16	14	15	18	9	16	19	11	13	16
i	20	7	19	19	11	19	4	14	3	11	13	13	2	2	0	5	11	14
i	9	2	11	19	11	12	1	14	20	1	6	14	19	18	8	4	6	1
i	6	6	15	18	12	14	7	0	17	3	17	4	0	17	3	13	17	3
i	4	20	10	6	0	19	19	7	20	11	12	19	17	17	9	0	19	3
i	8	20	10	0	4	8	5	0	5	1	3	10	3	9	8	1	14	11
c
c
W	105	107	90	94	81	101	86	101	112	100	113	95	92	101	97
c	end of file
