c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	0	7	0	14	0	14	0	7	14	7	14	7	7	14	0	14	0	0
i	19	3	14	19	2	15	6	15	14	1	11	13	13	15	20	1	13	20
i	11	10	18	6	15	8	17	15	16	7	0	3	15	10	4	13	4	3
i	15	13	9	20	17	1	11	13	13	12	4	13	7	17	18	16	13	3
i	2	13	8	12	6	17	18	7	8	11	18	1	5	17	2	3	17	11
i	16	17	5	14	10	18	3	13	11	20	6	1	13	15	10	16	3	2
i	10	6	17	16	15	8	7	0	20	15	19	6	7	7	16	3	14	19
i	15	6	3	8	6	2	12	9	4	11	11	7	17	6	11	15	9	13
i	15	6	3	8	6	2	12	8	4	11	11	6	16	5	11	15	9	13
i	12	13	15	8	10	11	8	18	11	14	13	18	8	0	12	18	15	12
i	8	13	10	8	7	6	5	19	19	14	11	4	11	19	13	8	8	16
i	11	13	11	19	8	3	7	15	12	14	1	8	17	4	15	12	14	2
i	0	8	2	17	4	16	2	11	11	17	15	19	10	7	12	13	5	5
i	6	11	16	8	16	5	16	20	20	16	19	1	1	2	16	1	2	13
i	12	11	18	2	14	13	2	7	13	10	12	15	6	13	16	7	10	12
i	15	2	14	14	7	14	20	9	20	6	9	8	18	19	16	0	6	9
i	5	19	7	15	7	7	18	10	15	18	1	10	15	14	3	0	2	18
i	14	15	3	6	20	1	16	8	4	12	4	12	8	4	12	0	5	11
i	11	6	17	13	7	5	5	14	6	18	19	5	3	3	16	7	5	10
i	16	7	18	8	12	16	13	8	13	9	11	18	11	17	16	9	1	19
c
c
W	107	100	104	118	95	91	99	113	124	122	105	88	104	104	120
c	end of file
