c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	7	14	7	0	7	0	7	14	0	14	0	14	14	0	7	0	7	7
i	14	19	8	14	18	9	1	9	8	17	6	8	8	10	14	16	8	15
i	14	13	0	9	19	11	20	18	19	10	3	6	18	14	7	16	7	6
i	5	3	20	10	7	12	1	3	3	2	14	3	18	7	8	6	2	14
i	11	0	17	0	15	5	5	16	17	19	6	10	13	4	11	12	5	20
i	11	12	0	9	6	13	19	9	6	15	1	17	8	10	5	11	19	18
i	16	12	2	1	0	14	13	6	5	0	4	12	13	13	1	9	20	5
i	1	14	10	15	13	9	19	16	11	18	18	14	3	13	19	1	16	0
i	1	14	10	15	13	9	19	16	11	18	18	13	2	12	18	1	16	20
i	8	9	10	4	6	7	4	14	7	10	8	14	3	16	7	13	11	7
i	0	5	2	20	20	19	18	11	11	6	2	17	3	11	5	0	0	8
i	19	1	20	6	17	12	16	3	0	2	10	17	5	13	3	0	2	10
i	12	20	14	8	16	7	14	2	2	8	6	10	1	19	3	4	17	17
i	11	15	20	12	0	9	0	4	3	0	2	5	6	6	0	6	6	17
i	16	15	0	5	17	17	6	11	16	14	15	18	10	16	20	11	13	16
i	18	6	17	17	10	17	2	13	2	10	12	11	1	1	19	4	9	12
i	16	10	18	5	18	19	9	0	6	9	13	0	6	5	15	12	13	8
i	7	8	16	19	13	15	8	1	18	4	18	5	1	18	4	14	18	4
i	7	1	12	8	3	1	1	10	2	14	14	1	20	20	12	3	1	6
i	0	12	2	14	17	0	18	13	18	14	16	3	16	1	0	14	6	3
c
c
W	97	102	103	96	118	103	100	95	83	102	93	99	85	105	89
c	end of file
