c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	14	0	14	7	14	7	14	0	7	0	7	0	0	7	14	7	14	14
i	8	13	3	8	12	4	16	4	3	11	0	3	2	4	9	11	2	9
i	17	16	3	12	1	14	2	0	1	14	6	9	0	17	10	19	10	10
i	16	14	10	0	18	2	11	14	14	13	4	13	8	18	18	16	13	4
i	19	9	5	9	2	14	14	4	4	7	14	18	1	13	20	0	13	8
i	6	8	16	5	1	8	14	4	1	10	17	12	4	5	0	6	14	14
i	1	19	8	7	6	20	19	12	11	6	10	18	19	19	7	15	5	11
i	9	0	17	1	20	16	6	2	18	5	4	0	10	20	5	8	2	7
i	9	0	17	1	20	16	5	2	18	5	4	0	10	19	5	8	2	7
i	4	5	6	0	2	2	20	9	3	6	4	10	20	12	3	9	7	3
i	12	18	15	12	12	11	9	3	2	19	15	9	16	3	18	12	13	0
i	7	10	7	15	5	0	3	11	9	11	19	5	14	1	11	8	11	19
i	3	11	5	20	7	19	5	14	14	20	18	1	13	10	15	16	8	8
i	15	19	3	17	4	14	4	8	7	4	7	9	10	10	4	10	10	0
i	19	18	4	9	0	20	9	14	20	17	19	1	13	20	2	14	17	19
i	1	9	0	0	13	0	6	16	5	13	15	15	4	5	2	7	13	16
i	7	0	9	17	9	10	20	12	18	20	4	12	17	16	6	2	4	20
i	20	0	9	12	5	7	1	14	10	18	10	18	14	10	18	6	11	17
i	2	18	8	4	20	18	17	6	18	10	10	18	16	16	8	20	18	2
i	5	17	8	19	1	6	3	18	2	19	1	8	0	6	5	20	11	9
c
c
W	97	102	84	88	86	104	99	84	93	114	94	90	96	116	90
c	end of file
