c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	0	7	0	14	0	14	0	7	14	7	14	7	7	14	0	14	0	0
i	0	5	16	0	4	17	8	17	16	3	13	15	15	17	1	3	15	1
i	13	12	0	9	18	10	20	18	18	10	2	5	18	13	6	15	6	6
i	16	14	10	0	18	2	12	14	14	13	5	14	8	18	19	17	14	4
i	4	15	10	14	8	19	20	9	10	13	20	3	7	19	4	5	19	13
i	13	15	2	11	8	15	0	11	8	17	3	19	10	12	7	13	0	20
i	2	19	9	7	6	0	20	13	11	6	11	18	20	19	8	16	6	11
i	11	2	19	3	1	18	7	4	20	6	6	2	12	1	7	10	4	9
i	10	2	19	3	1	18	7	4	20	6	6	1	11	0	6	10	4	9
i	11	12	14	7	9	10	7	17	10	13	12	17	7	20	11	17	14	11
i	7	13	10	7	7	6	4	19	18	13	10	4	11	19	13	7	8	16
i	9	12	10	17	7	2	6	14	11	13	0	7	16	3	14	11	13	0
i	13	0	14	8	17	8	15	3	3	8	6	10	2	19	3	4	17	18
i	1	5	10	3	11	0	11	15	14	11	14	16	17	17	11	17	17	7
i	13	12	18	2	14	14	3	8	14	11	12	15	7	13	17	8	10	13
i	11	19	10	10	3	10	16	5	16	2	4	4	14	15	12	17	2	5
i	6	20	8	16	8	9	19	11	16	19	2	11	16	15	4	1	3	19
i	17	18	6	9	2	4	19	12	7	15	7	16	11	7	15	4	8	14
i	19	14	4	0	16	14	13	2	14	6	6	14	12	12	4	15	14	19
i	14	5	16	6	10	14	11	6	11	7	9	16	9	15	14	7	20	17
c
c
W	95	111	103	73	84	102	109	105	133	100	81	107	115	134	88
c	end of file
