c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	7	14	7	0	7	0	7	14	0	14	0	14	14	0	7	0	7	7
i	16	0	10	16	20	11	3	11	10	19	8	10	10	12	16	18	10	17
i	16	15	3	12	0	14	2	0	0	13	5	8	0	16	9	18	9	9
i	6	4	0	11	8	13	1	4	4	3	15	3	19	8	9	7	3	15
i	13	2	19	2	17	7	7	18	19	0	8	12	15	6	13	14	7	1
i	8	10	18	7	3	10	16	6	3	12	20	14	6	7	2	8	16	16
i	8	4	15	13	12	6	5	19	18	12	17	3	5	4	14	1	12	17
i	18	9	5	10	8	5	15	11	6	14	13	9	19	8	14	17	11	16
i	18	9	5	10	8	5	14	11	6	14	13	9	19	7	14	17	11	16
i	7	8	9	3	5	6	3	13	6	9	7	13	2	16	6	12	10	6
i	20	5	2	20	20	19	17	11	10	5	2	17	3	11	4	20	0	8
i	18	0	18	5	16	11	14	1	20	1	9	16	4	12	2	19	1	9
i	4	12	5	20	8	20	6	15	15	20	18	1	14	10	15	16	9	9
i	5	10	15	7	15	4	15	19	19	15	18	0	0	0	15	0	1	11
i	16	15	1	6	18	17	6	12	17	15	16	19	10	17	20	12	14	17
i	14	2	13	13	6	13	19	9	19	6	8	7	17	18	15	0	5	8
i	17	11	19	6	20	20	10	1	7	10	14	1	7	6	16	13	14	9
i	10	11	20	1	16	18	11	4	0	8	0	8	4	0	7	17	0	7
i	15	10	0	17	12	10	9	19	10	1	2	10	8	8	0	11	10	15
i	19	10	0	12	15	19	16	11	16	12	14	1	14	20	19	12	4	1
c
c
W	128	81	92	96	117	114	98	105	103	102	104	88	95	93	109
c	end of file
