c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	14	0	14	7	14	7	14	0	7	0	7	0	0	7	14	7	14	14
i	14	18	8	13	17	9	0	9	8	16	5	8	7	9	14	16	8	14
i	19	18	6	15	3	17	5	3	3	16	8	11	3	19	12	0	12	12
i	9	7	3	14	11	16	4	7	7	6	18	6	1	11	11	9	6	18
i	4	14	10	14	8	19	19	9	9	12	19	2	6	18	4	5	19	13
i	7	8	17	5	2	9	15	5	2	11	18	13	4	6	1	7	15	14
i	5	1	12	10	9	3	1	16	14	9	13	0	1	1	11	19	9	14
i	5	17	14	19	16	13	2	19	15	1	1	17	7	16	1	5	20	3
i	5	17	13	18	16	13	2	19	15	1	1	17	6	16	1	5	19	3
i	11	12	14	8	9	10	7	17	11	13	12	17	7	20	11	17	14	11
i	14	20	17	14	14	13	11	5	4	0	17	11	18	5	20	14	15	2
i	17	19	17	4	14	10	13	0	19	0	8	14	2	11	0	18	20	8
i	9	16	10	4	13	4	11	20	20	4	2	6	19	15	20	0	13	14
i	17	0	5	18	6	15	6	10	9	6	8	11	12	12	6	12	12	2
i	13	12	18	2	14	14	3	8	13	11	12	15	7	13	17	8	10	13
i	12	0	11	11	4	11	17	6	17	4	6	5	15	16	13	18	3	6
i	19	13	0	8	1	1	12	3	9	12	16	3	9	8	18	15	16	11
i	16	17	5	8	1	3	18	11	6	14	6	15	10	6	14	3	7	13
i	16	11	1	18	13	11	10	20	11	3	3	11	9	9	1	12	11	16
i	0	12	3	14	17	1	19	13	18	14	17	3	16	1	0	15	6	4
c
c
W	113	116	99	112	101	100	95	100	109	77	99	93	80	110	95
c	end of file
