c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	14	0	14	7	14	7	14	0	7	0	7	0	0	7	14	7	14	14
i	4	9	20	4	8	0	12	0	20	7	17	20	19	0	5	7	19	5
i	12	11	20	8	17	10	19	17	17	9	1	4	17	12	5	14	5	5
i	14	12	8	19	16	0	10	12	12	11	3	12	6	16	17	15	12	2
i	15	5	1	5	19	10	10	0	0	3	10	14	18	9	16	17	10	4
i	12	13	1	10	6	14	20	9	6	16	2	17	9	11	6	12	20	19
i	18	14	4	2	1	16	15	8	6	1	6	13	15	14	3	11	1	6
i	18	9	6	11	9	5	15	11	7	14	14	10	20	8	14	18	12	16
i	18	9	6	10	9	5	15	11	7	14	14	9	19	8	14	18	12	16
i	6	7	8	2	4	4	1	11	5	8	6	12	1	14	5	11	8	5
i	13	19	16	13	12	11	10	3	3	19	16	10	17	3	18	13	14	0
i	10	12	10	18	7	2	6	14	11	13	0	7	16	3	14	11	13	1
i	0	7	1	16	3	15	1	10	10	16	14	18	9	6	11	12	4	5
i	5	9	14	7	15	3	15	19	18	15	18	20	0	0	15	0	0	11
i	17	17	2	7	19	18	7	13	18	16	17	20	11	18	1	13	15	18
i	9	17	8	8	1	8	14	3	14	0	2	2	12	13	10	15	0	3
i	5	19	7	15	7	8	18	10	16	18	1	10	15	14	3	0	2	18
i	14	15	3	5	20	1	15	8	4	12	4	12	8	4	11	0	5	11
i	6	1	12	8	2	0	0	9	1	13	14	1	20	19	11	2	1	5
i	9	0	12	2	5	10	7	1	6	2	5	12	4	10	9	3	15	13
c
c
W	110	103	87	89	97	74	112	85	94	104	86	112	118	95	101
c	end of file
