c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	0	7	0	14	0	14	0	7	14	7	14	7	7	14	0	14	0	0
i	10	15	4	10	14	6	18	5	5	13	2	4	4	6	11	13	4	11
i	4	3	11	20	8	1	10	8	9	0	14	17	8	3	18	6	18	17
i	0	18	14	4	1	6	16	18	19	17	9	18	13	2	2	0	18	8
i	14	4	20	3	18	8	9	19	20	2	9	13	17	8	14	15	8	2
i	20	1	9	19	15	2	8	18	15	4	11	5	18	20	14	0	8	7
i	2	20	9	8	7	0	20	13	12	7	11	19	20	20	9	16	6	12
i	7	20	16	0	19	15	4	1	17	3	3	20	9	19	4	7	1	6
i	7	20	16	0	19	15	4	1	17	3	3	19	8	18	3	7	1	5
i	6	7	9	3	4	5	2	12	5	8	7	12	2	15	6	12	9	6
i	6	12	9	6	6	4	3	17	17	12	9	3	10	18	11	6	7	14
i	3	6	4	11	1	17	0	8	5	7	15	1	10	18	8	5	7	15
i	12	20	13	7	16	7	14	2	2	7	6	10	1	18	2	4	17	17
i	15	20	4	17	5	14	4	8	8	4	7	10	10	11	5	11	11	1
i	17	16	1	6	18	18	7	12	18	15	16	20	11	17	0	12	14	17
i	11	20	11	10	3	10	17	6	16	3	5	5	15	15	13	18	3	6
i	11	4	13	0	13	14	4	16	1	3	8	16	0	20	10	6	8	3
i	12	13	1	3	18	20	13	6	2	10	2	10	6	2	9	19	2	9
i	0	16	6	2	18	15	15	3	16	7	8	16	14	14	5	17	16	20
i	4	16	6	17	0	4	1	17	1	18	20	6	20	5	4	18	10	7
c
c
W	81	129	88	80	102	98	85	99	110	75	90	116	102	132	74
c	end of file
