c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	14	0	14	7	14	7	14	0	7	0	7	0	0	7	14	7	14	14
i	6	11	1	6	10	2	14	2	1	9	19	1	0	2	7	9	0	7
i	15	14	1	10	19	12	0	19	19	11	4	7	19	14	8	17	8	7
i	15	13	9	20	17	1	11	13	13	12	3	12	7	17	18	16	12	3
i	17	7	3	7	0	12	12	2	2	5	12	16	20	11	18	19	11	6
i	9	10	19	7	3	11	17	7	4	13	20	15	6	8	3	9	17	16
i	10	6	17	15	14	7	6	20	19	14	18	5	6	6	16	3	13	19
i	13	5	1	6	4	0	10	7	2	9	9	5	15	4	10	13	7	11
i	13	5	1	6	4	0	10	7	2	9	9	4	14	3	9	13	7	11
i	5	6	7	1	3	3	0	10	4	7	5	11	0	13	4	10	7	4
i	13	19	16	13	12	11	10	3	3	19	16	9	16	3	18	13	13	0
i	8	11	9	16	6	1	5	13	10	12	20	6	15	2	13	10	12	20
i	12	20	13	7	16	7	14	2	2	7	5	9	1	18	2	4	17	17
i	20	4	9	1	9	19	9	13	13	9	12	15	15	16	9	15	16	6
i	18	17	3	8	20	19	8	13	19	17	18	0	12	19	1	14	16	19
i	5	13	4	4	18	4	10	20	10	17	19	19	8	9	6	11	17	20
i	6	20	8	16	8	9	19	11	17	19	3	11	16	15	4	1	3	19
i	17	18	6	9	2	4	19	11	7	15	7	15	11	7	15	3	8	14
i	15	10	0	17	11	9	9	18	10	1	2	10	7	7	20	11	9	14
i	7	19	10	0	3	8	5	20	4	0	3	10	2	8	7	1	13	11
c
c
W	119	114	76	88	97	73	101	106	84	103	106	90	95	95	101
c	end of file
