c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	14	0	14	7	14	7	14	0	7	0	7	0	0	7	14	7	14	14
i	19	3	14	19	2	15	6	15	14	1	11	14	13	15	20	1	14	20
i	5	4	13	1	10	3	12	10	10	2	15	18	10	5	19	7	19	19
i	12	9	5	16	13	18	7	9	10	8	0	9	4	14	14	12	9	20
i	10	20	16	20	13	4	4	15	15	18	4	8	12	3	10	11	4	19
i	20	0	9	18	14	1	7	18	15	3	10	5	17	19	14	20	7	6
i	1	18	8	6	5	20	19	12	10	5	9	17	19	18	7	15	5	10
i	12	3	20	4	2	20	9	5	1	8	7	3	13	2	8	11	5	10
i	12	3	20	4	2	20	8	5	0	8	7	3	13	1	8	11	5	10
i	8	10	11	5	7	7	4	14	8	10	9	15	4	17	8	14	11	8
i	14	20	17	14	13	12	11	4	4	20	17	10	17	4	19	14	14	1
i	13	16	13	0	11	6	9	17	15	17	4	11	20	7	18	14	17	4
i	4	12	5	20	8	20	6	15	15	20	18	2	14	10	15	17	9	9
i	0	5	10	2	10	20	10	14	14	10	13	16	16	16	10	16	17	6
i	15	14	0	5	17	16	5	10	16	13	15	18	9	15	19	10	13	15
i	0	8	20	20	13	20	5	15	5	12	15	14	3	4	1	6	12	15
i	2	16	4	12	4	4	15	7	12	15	19	7	12	11	0	18	19	15
i	5	5	14	17	11	13	6	20	16	2	15	3	20	16	2	12	16	2
i	1	17	7	3	18	16	16	4	17	8	9	17	14	14	6	18	16	0
i	15	6	18	8	11	16	13	7	12	8	11	18	10	16	15	9	0	19
c
c
W	91	95	119	101	99	129	93	108	108	94	108	104	120	107	114
c	end of file
