c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	14	0	14	7	14	7	14	0	7	0	7	0	0	7	14	7	14	14
i	0	5	16	0	4	17	8	17	16	3	13	16	15	17	1	3	16	1
i	8	7	15	3	12	5	14	12	12	4	18	0	12	7	1	10	1	0
i	12	10	6	17	14	19	8	10	10	9	1	10	5	15	15	13	10	0
i	11	1	18	1	15	6	6	17	17	20	6	10	14	5	12	13	6	0
i	17	19	6	16	12	19	4	15	12	0	7	2	14	16	11	17	4	3
i	13	10	20	19	18	11	10	3	2	18	1	9	10	10	20	6	17	2
i	7	19	16	20	18	15	4	0	17	3	2	19	8	18	3	6	0	5
i	7	19	15	20	18	15	4	0	17	3	2	19	8	18	3	6	0	5
i	7	9	10	4	6	6	3	13	7	10	8	14	3	16	7	13	10	7
i	13	19	16	13	13	12	10	4	3	20	16	10	17	4	19	13	14	1
i	12	15	12	20	10	5	8	16	14	16	3	10	18	6	16	13	16	3
i	17	3	18	12	0	11	18	6	6	12	10	14	5	2	7	8	0	1
i	16	20	4	18	5	14	5	9	8	5	8	10	11	11	5	11	11	1
i	16	15	0	5	17	17	6	11	16	14	15	18	10	16	20	11	13	16
i	17	4	16	16	9	16	1	11	1	8	11	10	20	0	18	2	8	11
i	3	17	5	13	5	5	16	8	13	16	20	8	13	12	1	19	20	16
i	8	9	17	20	14	16	9	2	19	5	19	6	2	19	5	15	19	5
i	9	4	15	11	6	4	3	13	4	17	17	4	2	2	15	6	4	9
i	13	4	16	6	9	14	11	5	10	6	9	16	8	14	13	7	19	17
c
c
W	110	105	128	121	110	117	81	86	106	95	97	103	98	108	103
c	end of file
