c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	7	14	7	0	7	0	7	14	0	14	0	14	14	0	7	0	7	7
i	6	11	0	6	10	1	14	1	1	9	19	0	0	2	6	9	0	7
i	5	3	12	0	9	2	11	9	9	1	14	17	9	4	19	7	19	18
i	2	20	16	6	3	8	18	20	0	19	11	20	15	4	4	2	20	10
i	3	13	9	13	7	18	18	8	9	11	19	2	5	17	3	4	18	12
i	1	2	11	20	16	3	9	20	17	5	12	7	19	0	16	1	9	8
i	7	4	14	13	12	5	4	18	17	12	16	3	4	4	14	0	11	17
i	0	12	8	13	11	8	18	14	10	17	16	12	1	11	17	20	14	19
i	0	12	8	13	11	8	17	14	9	17	16	12	1	11	17	20	14	19
i	12	13	14	8	10	10	8	17	11	14	12	18	7	20	11	17	15	11
i	1	6	3	0	0	20	18	12	12	7	3	18	4	12	6	1	1	9
i	3	6	3	11	1	17	20	7	5	7	15	1	10	18	8	4	7	15
i	5	12	6	0	9	20	6	15	15	0	19	2	14	11	16	17	9	10
i	12	16	0	13	1	10	1	5	4	0	3	6	7	7	1	7	7	18
i	12	11	18	2	14	13	2	8	13	11	12	15	6	13	16	8	10	13
i	13	1	13	12	5	12	19	8	18	5	7	7	17	17	15	20	5	8
i	12	5	14	1	14	15	4	17	2	4	9	17	1	0	11	7	9	4
i	15	16	4	7	0	2	17	9	5	13	5	14	9	5	13	2	6	12
i	14	8	19	15	10	8	8	17	9	0	0	8	6	6	19	10	8	13
i	8	20	10	1	4	8	5	0	5	1	3	11	3	9	8	1	14	11
c
c
W	69	103	95	77	77	94	112	117	86	84	106	102	76	86	114
c	end of file
