c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	14	0	14	7	14	7	14	0	7	0	7	0	0	7	14	7	14	14
i	16	20	10	15	19	11	2	11	10	18	7	10	9	11	16	18	10	16
i	1	0	8	17	5	19	7	5	5	18	11	14	5	0	15	3	15	14
i	10	7	3	15	12	16	5	7	8	7	19	7	2	12	12	10	7	19
i	6	16	12	16	10	0	0	11	11	14	0	4	8	20	6	7	0	15
i	4	6	14	3	20	6	12	2	20	8	15	10	2	3	19	4	12	12
i	17	14	3	2	1	15	14	7	6	1	5	13	14	14	3	10	0	6
i	0	12	9	14	12	8	18	15	10	17	17	13	2	12	17	0	15	19
i	0	12	9	13	12	8	18	14	10	17	17	12	1	11	17	0	15	19
i	10	11	13	7	8	9	6	16	10	12	11	16	6	19	10	16	13	10
i	14	20	17	14	14	12	11	4	4	20	17	11	18	5	19	14	15	2
i	16	18	16	3	13	8	12	20	17	19	6	13	1	9	20	17	19	7
i	0	8	1	16	4	16	2	11	11	16	15	19	10	6	11	13	5	5
i	11	16	0	13	0	10	0	4	4	0	3	6	6	6	0	6	7	17
i	13	13	19	3	15	14	3	9	14	12	13	16	7	14	18	9	11	14
i	8	17	7	7	0	7	13	2	13	0	2	1	11	12	9	14	20	2
i	20	14	1	10	2	2	13	4	10	13	17	5	10	9	19	16	17	13
i	19	20	8	11	5	6	0	14	9	17	9	18	13	9	17	6	10	16
i	4	20	10	6	1	20	19	7	20	11	12	20	18	18	9	0	20	4
i	19	10	1	12	15	20	17	11	16	12	15	1	14	20	19	13	4	2
c
c
W	101	127	88	102	91	107	93	87	108	116	109	105	79	109	135
c	end of file
