c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	0	7	0	14	0	14	0	7	14	7	14	7	7	14	0	14	0	0
i	14	19	8	14	18	10	1	9	9	17	6	8	8	10	15	17	8	15
i	8	7	16	4	13	6	15	13	13	5	18	0	13	8	1	10	1	1
i	1	20	16	6	3	8	18	20	20	19	11	20	14	3	4	2	20	10
i	18	8	3	7	1	12	13	2	3	6	13	17	0	12	18	19	12	6
i	15	17	4	13	10	17	2	13	10	19	5	0	12	14	9	15	2	1
i	7	3	14	12	11	5	4	18	16	11	15	2	4	3	13	0	11	16
i	19	10	6	11	9	6	16	12	8	15	14	10	20	9	15	18	12	17
i	19	10	6	11	9	6	15	12	8	15	14	10	20	9	15	18	12	17
i	4	5	7	1	2	3	0	10	3	6	5	10	0	13	4	10	7	4
i	6	12	8	6	5	4	3	17	17	12	9	2	9	17	11	6	6	14
i	1	4	1	9	19	15	18	5	3	5	13	20	7	16	5	2	5	13
i	16	3	17	11	20	11	18	6	6	11	9	14	5	1	6	8	0	0
i	5	9	14	6	15	3	15	18	18	14	17	20	20	0	15	0	0	11
i	18	18	3	8	20	19	8	14	19	17	18	0	12	19	2	14	16	19
i	3	12	3	2	16	2	9	19	8	16	18	17	7	7	4	10	15	18
i	13	7	15	2	15	16	6	18	3	5	10	18	3	1	12	9	10	5
i	18	19	7	10	3	5	20	12	8	16	8	16	12	8	16	4	9	15
i	18	13	3	20	14	12	12	0	13	4	5	12	10	10	2	14	12	17
i	0	12	2	13	17	0	18	13	18	14	16	2	16	1	0	14	6	3
c
c
W	102	108	77	90	110	87	106	119	109	117	119	103	100	88	84
c	end of file
