c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	0	7	0	14	0	14	0	7	14	7	14	7	7	14	0	14	0	0
i	17	1	12	17	0	13	4	13	12	20	9	11	11	13	18	20	11	18
i	8	7	16	4	13	6	15	13	13	5	18	0	13	8	1	10	1	1
i	14	12	8	19	16	0	10	12	12	11	3	12	7	17	17	15	12	2
i	0	11	6	10	4	15	16	5	6	9	16	20	3	15	0	1	15	9
i	18	20	7	17	13	0	6	16	13	2	9	3	16	18	12	19	6	5
i	18	15	4	3	2	16	15	8	7	2	6	14	15	15	4	11	1	7
i	20	11	8	13	11	7	17	13	9	16	16	12	1	10	16	20	14	18
i	20	11	7	12	10	7	17	13	9	16	16	11	0	10	16	20	14	18
i	13	14	16	9	11	12	9	19	12	15	14	19	9	1	13	19	16	13
i	8	14	11	8	7	6	5	19	19	14	11	5	11	19	13	8	9	16
i	12	14	12	20	9	5	8	16	14	16	3	9	18	6	16	13	15	3
i	9	17	10	4	13	4	11	20	20	4	2	6	19	15	20	0	14	14
i	12	16	0	14	1	11	1	5	4	1	4	6	7	7	1	7	7	18
i	11	10	17	1	13	12	1	7	12	10	11	14	5	12	15	7	9	12
i	19	6	18	18	11	18	3	13	3	10	13	12	1	2	20	4	10	13
i	4	18	6	14	6	6	17	9	14	17	0	9	14	13	2	20	0	17
i	11	12	0	3	17	19	13	5	1	9	1	9	5	1	9	18	2	8
i	2	18	8	4	19	17	17	5	18	9	10	18	16	15	7	19	18	1
i	18	9	20	10	14	18	15	10	15	11	13	20	13	19	18	11	3	0
c
c
W	117	122	93	107	95	103	100	114	114	102	95	109	96	115	109
c	end of file
