c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	7	14	7	0	7	0	7	14	0	14	0	14	14	0	7	0	7	7
i	18	2	12	18	1	13	5	13	12	0	10	12	12	14	18	20	12	19
i	19	17	5	14	2	16	4	2	2	15	7	10	2	18	12	0	12	11
i	7	5	1	12	9	14	2	5	5	4	16	4	20	9	9	7	4	16
i	15	4	0	4	19	9	9	20	0	2	10	14	17	8	15	16	9	3
i	6	7	15	4	0	8	14	3	0	10	17	11	3	5	0	6	14	13
i	0	17	7	5	4	19	17	11	9	4	8	16	17	17	6	14	4	9
i	13	4	1	5	3	0	10	6	2	9	8	4	14	3	9	12	6	11
i	13	4	0	5	3	0	9	6	2	9	8	4	14	3	9	12	6	11
i	6	7	8	2	4	5	2	12	5	8	6	12	2	15	5	11	9	5
i	20	5	2	20	20	18	17	10	10	5	2	17	3	10	4	20	0	7
i	17	20	17	4	14	10	13	0	19	0	8	15	2	11	0	18	0	8
i	16	3	17	12	20	11	18	6	6	12	10	14	5	2	7	8	0	0
i	0	4	9	1	10	19	10	14	13	10	12	15	16	16	10	16	16	6
i	17	16	2	7	19	18	7	12	18	15	17	20	11	18	0	13	15	17
i	10	19	9	9	2	9	15	4	15	2	4	3	13	14	11	17	1	4
i	18	12	20	8	0	0	11	2	8	11	15	2	8	7	17	14	15	10
i	13	14	2	4	19	0	14	7	3	11	3	11	7	3	10	20	4	10
i	3	19	9	5	0	18	18	6	19	10	11	19	17	17	8	20	19	2
i	17	8	19	10	13	17	14	9	14	10	12	20	12	18	17	10	2	20
c
c
W	118	101	81	75	85	102	108	81	81	81	92	119	105	104	87
c	end of file
