c	instance Type (null)
c
n	20
g	15
c	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	w11	w12	w13	w14	w15	v1	v2	v3
i	7	14	7	0	7	0	7	14	0	14	0	14	14	0	7	0	7	7
i	20	4	14	19	3	15	7	15	14	2	12	14	14	16	20	1	14	20
i	0	20	7	16	5	18	6	4	5	17	10	13	4	0	14	2	14	13
i	8	5	1	13	10	14	3	5	6	5	17	5	0	10	10	8	5	17
i	17	6	2	6	0	11	11	1	2	4	12	16	19	10	17	18	11	5
i	3	4	13	1	18	5	11	1	19	7	14	9	0	2	18	3	11	10
i	12	9	19	18	17	10	9	2	1	17	0	8	9	9	19	5	16	1
i	8	20	17	1	19	16	5	1	18	4	4	20	9	19	4	8	1	6
i	8	20	16	0	19	16	5	1	18	4	4	20	9	19	4	8	1	6
i	5	6	7	1	3	4	1	11	4	7	5	11	1	14	4	10	8	4
i	20	5	2	20	19	18	17	10	10	5	2	17	2	10	4	20	0	7
i	16	18	16	3	13	9	12	20	17	20	7	13	1	10	20	17	19	7
i	8	16	9	3	12	3	10	19	19	3	1	5	18	14	19	20	12	13
i	15	20	4	17	4	14	4	8	8	4	7	10	10	10	4	10	11	0
i	18	17	3	8	20	19	8	13	19	16	17	0	12	18	1	13	16	18
i	6	15	5	5	19	5	11	0	11	19	0	20	9	10	7	12	18	0
i	20	13	0	9	1	1	12	3	9	12	16	4	9	8	18	15	16	12
i	16	17	5	7	1	3	18	10	6	14	6	14	10	6	14	2	7	13
i	12	7	18	14	8	6	6	15	7	19	20	7	5	4	17	8	7	11
i	15	6	18	8	11	15	12	7	12	8	10	18	10	16	15	8	0	18
c
c
W	117	121	92	85	105	101	88	80	103	101	82	119	83	103	118
c	end of file
