c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	80	92	47	47	33	96
i	90	80	29	53	89	38
i	51	55	6	69	79	73
i	59	58	93	80	39	83
i	14	71	83	14	61	45
i	98	9	27	18	17	41
i	81	38	41	92	88	65
i	12	43	69	41	3	56
i	77	28	79	51	76	81
i	44	83	34	19	28	82
i	42	100	15	58	68	11
i	56	20	83	91	44	14
i	65	26	15	69	26	30
i	34	6	55	83	12	89
i	5	50	60	99	21	73
i	95	67	71	8	3	97
i	65	27	73	63	62	68
i	14	78	28	63	70	19
i	42	100	15	58	68	11
i	83	28	93	2	98	57
i	12	31	7	31	75	37
i	92	79	85	92	37	97
i	95	16	77	88	79	90
i	100	7	66	63	17	62
i	67	16	55	79	77	69
c
c
W	737	604	653
c	end of file
