c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	85	97	52	52	38	1
i	31	21	70	94	30	79
i	29	33	37	100	10	4
i	100	99	34	21	27	24
i	88	45	57	88	35	19
i	37	1	66	57	56	80
i	94	51	54	5	1	78
i	65	43	69	94	56	56
i	5	3	54	79	51	56
i	21	60	11	96	5	59
i	7	18	33	76	33	29
i	55	19	29	90	90	60
i	34	95	31	38	95	99
i	64	89	38	66	42	19
i	10	55	18	4	26	31
i	64	36	40	77	72	66
i	100	62	8	98	97	3
i	49	13	16	98	5	54
i	7	18	33	76	33	29
i	16	61	26	35	31	90
i	75	94	23	94	38	100
i	57	44	50	57	2	62
i	54	28	89	100	38	2
i	97	4	63	60	14	59
i	3	5	44	15	13	58
c
c
W	624	547	523
c	end of file
