c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	100	12	67	67	53	16
i	65	55	4	75	64	13
i	41	45	96	59	69	63
i	85	84	19	6	12	9
i	1	5	70	1	95	32
i	41	52	70	61	60	84
i	15	72	75	26	22	99
i	61	92	18	90	52	5
i	26	77	28	100	25	30
i	23	62	60	98	7	61
i	94	52	20	63	20	16
i	43	7	70	78	31	1
i	36	97	86	40	97	1
i	48	73	22	50	26	56
i	19	11	74	13	35	87
i	62	34	85	75	17	64
i	54	16	62	52	51	57
i	54	18	68	3	57	59
i	94	52	67	63	20	16
i	44	89	54	63	59	18
i	91	10	39	10	54	16
i	1	88	41	1	93	53
i	63	84	45	9	47	11
i	59	13	25	22	76	68
i	65	14	53	77	75	67
c
c
W	643	607	659
c	end of file
