c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	45	57	12	12	98	61
i	45	35	31	55	44	40
i	74	78	82	45	55	49
i	63	62	97	84	90	87
i	58	62	74	5	52	36
i	85	96	14	52	51	28
i	61	18	21	72	68	45
i	63	94	67	92	54	7
i	3	54	5	77	49	7
i	34	73	24	62	71	25
i	36	94	9	52	62	58
i	72	89	99	7	60	30
i	93	54	43	97	54	58
i	24	96	45	73	2	79
i	17	62	25	11	33	38
i	21	46	97	34	29	76
i	18	33	26	16	68	21
i	69	33	83	18	25	74
i	36	94	9	52	62	58
i	23	68	80	89	85	97
i	91	10	86	10	54	16
i	88	75	28	88	80	40
i	91	12	73	84	75	39
i	50	57	69	13	20	12
i	2	4	43	14	12	57
c
c
W	631	728	621
c	end of file
