c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	35	47	2	2	88	51
i	52	42	38	62	51	47
i	93	97	48	64	21	15
i	19	18	53	40	46	43
i	19	23	88	19	13	50
i	20	31	49	40	39	63
i	100	57	60	11	7	84
i	14	45	71	96	58	58
i	57	55	6	31	3	8
i	62	1	99	37	46	100
i	67	25	40	83	93	36
i	83	47	57	18	18	88
i	7	68	57	11	68	72
i	70	95	44	19	48	25
i	19	64	27	13	35	40
i	92	17	68	5	100	47
i	99	14	7	97	49	2
i	52	16	66	1	55	4
i	67	25	40	83	93	36
i	75	20	85	94	90	49
i	38	57	33	57	1	63
i	62	49	2	62	54	14
i	94	15	76	40	78	42
i	85	92	4	1	55	47
i	82	31	70	94	92	84
c
c
W	732	526	595
c	end of file
