c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	70	82	37	37	23	86
i	8	98	47	71	7	56
i	42	46	50	13	23	17
i	77	29	64	51	57	54
i	66	23	35	66	13	97
i	67	31	96	87	86	10
i	8	12	68	19	15	92
i	12	43	16	41	3	56
i	27	78	29	1	73	31
i	90	29	80	65	74	28
i	6	64	79	75	32	28
i	58	75	85	93	46	16
i	80	41	30	84	41	45
i	21	93	42	70	99	76
i	89	34	44	83	5	10
i	57	29	33	70	65	12
i	42	57	3	93	92	98
i	44	8	58	93	47	49
i	6	64	79	75	32	28
i	17	62	74	36	32	91
i	33	52	81	5	96	58
i	62	49	2	9	54	14
i	71	92	53	17	55	19
i	6	13	72	69	76	68
i	89	91	77	1	99	44
c
c
W	574	648	667
c	end of file
