c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	45	57	12	12	98	61
i	34	24	20	44	33	29
i	2	6	57	20	30	24
i	1	100	35	22	28	25
i	67	71	36	67	61	98
i	51	62	80	18	17	94
i	26	30	86	37	33	10
i	67	98	71	96	58	11
i	7	58	9	81	53	11
i	16	55	53	91	100	54
i	50	8	23	19	76	72
i	28	45	55	63	16	86
i	92	53	42	96	53	57
i	83	8	57	32	61	38
i	35	80	90	29	51	3
i	30	55	6	43	38	85
i	69	84	77	20	19	72
i	22	86	36	71	25	27
i	50	8	23	19	76	72
i	41	86	51	60	56	15
i	17	83	12	36	27	89
i	92	79	85	92	37	97
i	18	39	100	11	2	13
i	79	86	98	42	49	41
i	7	9	95	19	17	9
c
c
W	515	685	655
c	end of file
