c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	15	27	82	82	68	31
i	88	78	74	98	87	83
i	28	32	83	46	56	50
i	55	7	42	29	35	32
i	23	27	92	23	17	54
i	11	22	40	31	30	54
i	1	58	61	12	61	85
i	14	45	18	43	5	5
i	4	55	53	78	50	8
i	54	93	91	29	38	92
i	48	6	21	64	74	17
i	87	4	14	75	75	45
i	37	51	87	41	98	2
i	44	69	18	93	22	99
i	40	85	95	34	56	61
i	69	41	92	29	24	71
i	59	74	67	57	9	62
i	59	23	26	8	15	64
i	48	6	21	64	74	17
i	43	88	53	62	58	17
i	33	52	28	52	96	58
i	49	36	89	49	41	1
i	99	20	81	92	83	94
i	97	4	16	13	67	59
i	79	28	67	91	89	81
c
c
W	592	516	706
c	end of file
