c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	5	17	72	72	58	21
i	95	85	34	58	94	43
i	94	51	2	65	75	69
i	11	63	98	85	91	88
i	84	41	53	84	31	15
i	46	10	75	66	65	89
i	93	97	53	4	100	77
i	65	96	22	94	56	9
i	5	56	7	79	4	9
i	29	68	19	57	13	20
i	26	37	52	95	5	48
i	98	62	25	33	86	56
i	51	65	1	8	65	69
i	90	15	64	92	68	45
i	42	87	97	36	58	10
i	40	12	63	53	95	42
i	40	55	48	38	90	43
i	42	6	56	91	45	47
i	26	37	52	95	52	48
i	48	93	58	67	63	22
i	80	99	28	99	43	5
i	23	10	63	23	15	75
i	2	23	84	48	86	50
i	85	39	51	48	2	94
i	6	8	94	18	16	61
c
c
W	613	616	636
c	end of file
