c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	10	22	77	77	63	26
i	47	37	86	57	46	95
i	97	1	5	68	78	72
i	14	66	1	88	94	91
i	49	53	18	49	43	80
i	72	83	1	39	38	15
i	41	45	1	52	48	25
i	14	92	18	43	5	5
i	29	27	78	3	75	80
i	77	16	14	52	61	15
i	30	88	3	99	56	52
i	41	5	15	76	76	46
i	21	82	71	25	82	86
i	14	86	35	63	92	69
i	82	27	90	76	98	3
i	100	72	23	13	55	2
i	24	39	32	22	21	27
i	24	88	38	73	80	29
i	30	88	3	99	56	52
i	10	55	20	29	25	84
i	70	89	65	89	33	95
i	31	18	24	31	76	36
i	87	8	69	33	71	35
i	100	7	19	16	70	62
i	90	92	78	2	100	45
c
c
W	602	643	442
c	end of file
