c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	75	87	42	42	28	91
i	49	39	88	12	48	97
i	20	77	28	91	1	95
i	18	17	52	39	98	42
i	40	97	9	40	87	71
i	6	70	88	26	25	2
i	68	25	28	79	28	52
i	12	43	16	41	3	56
i	2	53	4	76	1	6
i	67	6	57	42	51	5
i	24	82	97	93	50	46
i	57	21	84	92	45	15
i	49	10	99	53	10	14
i	51	76	25	53	29	6
i	47	92	2	41	63	68
i	26	98	2	39	34	81
i	30	92	38	28	27	33
i	79	43	93	28	35	84
i	24	82	97	93	50	46
i	50	95	60	69	65	24
i	49	15	44	68	59	21
i	27	14	20	27	19	79
i	83	4	65	29	67	31
i	3	10	69	66	73	65
i	78	27	66	90	88	80
c
c
W	517	638	637
c	end of file
