c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	50	62	17	17	3	66
i	86	76	72	96	85	81
i	52	56	60	23	33	27
i	4	3	38	25	31	28
i	32	36	48	79	26	10
i	24	35	53	44	43	67
i	74	78	34	85	81	58
i	63	94	67	92	54	7
i	78	29	80	52	24	82
i	64	50	1	39	48	2
i	54	12	27	70	80	23
i	71	35	98	6	59	29
i	9	23	59	66	23	27
i	54	79	28	56	32	9
i	75	20	83	69	91	96
i	90	15	66	3	98	45
i	53	68	61	4	3	56
i	4	68	71	53	60	9
i	54	12	27	70	80	23
i	56	1	13	22	18	30
i	54	73	49	73	17	79
i	53	40	46	53	98	5
i	3	24	85	96	87	98
i	47	54	66	10	17	9
i	91	93	79	3	1	46
c
c
W	648	568	664
c	end of file
