c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	30	42	97	97	83	46
i	22	12	8	32	21	17
i	87	91	95	58	68	62
i	40	39	74	61	20	64
i	36	40	52	83	30	14
i	15	26	44	35	34	58
i	75	79	35	86	82	59
i	10	41	67	92	1	54
i	25	76	27	52	24	29
i	3	42	93	31	40	94
i	35	93	8	51	61	4
i	28	92	55	63	16	86
i	92	53	89	96	53	57
i	28	53	2	77	6	83
i	96	41	51	90	12	17
i	14	39	90	27	22	69
i	13	28	21	11	63	16
i	64	28	78	13	67	69
i	35	93	8	51	61	4
i	24	69	81	90	86	98
i	49	68	44	68	12	74
i	40	27	80	40	32	92
i	55	29	37	1	39	3
i	59	66	78	75	29	21
i	88	90	29	100	98	43
c
c
W	532	679	672
c	end of file
