c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	100	12	67	67	53	16
i	54	44	93	17	53	2
i	16	20	24	87	97	91
i	23	22	57	44	50	47
i	10	67	79	10	57	41
i	7	18	36	27	26	50
i	80	37	40	91	87	64
i	65	96	69	94	56	9
i	30	81	32	4	76	34
i	52	91	42	27	36	90
i	61	19	34	77	87	30
i	99	63	26	34	87	57
i	35	96	85	39	96	100
i	60	32	81	9	38	15
i	84	29	39	78	100	5
i	71	43	94	84	26	73
i	5	20	13	3	2	8
i	7	71	21	56	10	59
i	61	19	34	77	87	30
i	15	60	25	34	30	89
i	17	36	12	36	80	42
i	5	92	98	5	50	10
i	90	11	72	36	74	38
i	88	42	54	51	5	97
i	17	19	58	29	27	72
c
c
W	576	570	643
c	end of file
