c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	40	52	7	7	93	56
i	93	83	79	3	92	88
i	71	75	79	42	52	46
i	60	59	94	81	87	84
i	93	97	62	93	87	24
i	59	23	88	79	78	55
i	13	70	73	24	20	97
i	67	98	71	96	58	58
i	32	83	81	6	78	36
i	39	78	76	14	23	77
i	32	43	58	1	58	54
i	29	46	56	17	17	87
i	76	37	73	80	37	41
i	53	25	74	2	31	8
i	77	22	32	71	93	98
i	61	86	37	74	69	16
i	34	49	42	85	84	37
i	87	51	1	36	90	92
i	32	90	5	1	58	54
i	8	53	18	27	23	82
i	1	20	49	20	64	26
i	27	14	20	27	72	79
i	6	27	88	52	90	54
i	82	89	1	98	52	44
i	18	20	59	30	28	73
c
c
W	595	695	662
c	end of file
