c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	95	7	62	62	48	11
i	13	3	52	76	12	61
i	38	42	93	56	66	60
i	82	81	16	3	9	6
i	36	93	5	36	83	67
i	68	79	97	35	34	11
i	67	24	27	78	74	51
i	65	96	69	94	56	9
i	55	6	57	29	1	59
i	75	14	65	50	59	13
i	43	1	16	12	69	65
i	100	17	27	35	88	58
i	66	80	16	23	80	84
i	77	2	51	79	55	32
i	26	71	81	20	42	47
i	2	74	25	15	57	4
i	70	85	78	68	67	73
i	72	36	86	68	75	24
i	43	1	16	12	69	65
i	82	27	92	1	97	56
i	54	20	49	73	17	79
i	40	27	33	40	85	92
i	78	52	60	24	62	26
i	91	98	57	54	8	53
i	81	30	69	93	91	83
c
c
W	760	533	650
c	end of file
